FileName,Gender,Age
KJH00,Female,8
KJH01,Female,15
KJH02,Female,8
KJH03,Female,25
KJH04,Female,25
KJH05,Male,25
KJH06,Male,25
KJH07,Male,25
KJH08,Male,25
KJH09,Female,25
KJH10,Female,25
KJH11,Female,25
KJH12,Female,25
KJH13,,
KJH14,,
KJH15,,
KJH16,,
KJH17,,
KJH18,Female,25
KJH19,Male,25
KJH20,Male,25
KJH21,Male,25
KJH22,Male,25
KJH23,Male,25
KJH24,Male,8
KJH25,Male,8
KJH26,Male,8
KJH27,Male,4
KJH28,Male,4
KJH29,Male,25
KJH30,Female,25
KJH31,Female,25
KJH32,Female,25
KJH33,Female,25
KJH34,Female,25
KJH35,Female,25
KJH36,Female,25
KJH37,Female,25
KJH38,Male,25
KJH39,Male,25
KJH40,Female,25
KJH41,Female,25
KJH42,Female,25
KJH43,,
KJH44,,
KJH45,,
KJH46,,
KJH47,Male,25
KJH48,Male,25
KJH49,Male,25
KJH50,Male,25
KJH51,Male,8
KJH52,Male,4
KJH53,Male,4
KJH54,Male,4
KJH55,Male,4
KJH56,Male,0
KJH57,Male,0
KJH58,Male,0
KJH59,Female,4
KJH60,Female,25
KJH61,Female,25
KJH62,Female,25
KJH63,Male,8
KJH64,Male,8
KJH65,Male,48
KJH66,Male,25
KJH67,Male,8
KJH68,Male,8
KJH69,Female,4
KJH70,Female,4
KJH71,Male,4
KJH72,,
KJH73,,
KJH74,,
KJH75,,
KJH76,,
KJH77,,
KJH78,Male,25
KJH79,Male,25
KJH80,Male,25
KJH81,Male,25
KJH82,Male,25
KJH83,Male,25
KJH84,Male,8
KJH85,Male,4
